time,icao24,lat,lon,velocity,heading,vertrate,baroaltitude,geoaltitude
2020-05-25 00:04:30,12611922,43.562931060791016,-80.19494167594024,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:04:40,12611922,43.562931060791016,-80.19494167594024,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:04:50,12611922,43.56256484985352,-80.19441471543422,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:00,12611922,43.56256484985352,-80.19441471543422,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:10,12611922,43.56256484985352,-80.19441471543422,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:20,12611922,43.56256484985352,-80.19441471543422,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:30,12611922,43.56229019165039,-80.19391969192861,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:40,12611922,43.56229019165039,-80.19391969192861,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:05:50,12611922,43.56229019165039,-80.19391969192861,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:00,12611922,43.56229019165039,-80.19391969192861,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:10,12611922,43.56229019165039,-80.19391969192861,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:20,12611922,43.56210611634335,-80.19256046840123,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:30,12611922,43.562255859375,-80.19235477891078,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:40,12611922,43.56241607666016,-80.19213121990822,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:06:50,12611922,43.56256484985352,-80.19192362940589,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:00,12611922,43.562713623046875,-80.19171603890351,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:10,12611922,43.56279276185116,-80.19161224365234,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:20,12611922,43.56289750438626,-80.19146510532926,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:30,12611922,43.5629768371582,-80.19134876339933,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:40,12611922,43.5629768371582,-80.19134876339933,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:07:50,12611922,43.56298828125,-80.19133279489915,13.09560627386636,135.0,0.0,0.0,0.0
2020-05-25 00:08:00,12611922,43.56298828125,-80.19134876339933,13.09560627386636,135.0,0.0,0.0,0.0
