icao_code,iata_code,name,latitude,longitude
CYLC, YLC, N/A,0.0,0.0
CYLD, YLD, CHAPLEAU,47.82,-83.346
CYLJ, YLJ, MEADOW LAKE,54.125,-108.523
CYLL, YLL, LLOYDMINSTER,53.309,-110.072
CYLO, N/A, N/A,0.0,0.0
CYLT, YLT, ALERT,82.518,-62.281
CYLW, YLW, KELOWNA,49.956,-119.378
CYLY, N/A, N/A,0.0,0.0
CYMA, YMA, MAYO,63.617,-135.867
CYMD, N/A, N/A,0.0,0.0
CYMJ, YMJ, MOOSE JAW,50.33,-105.559
CYMM, YMM, FORT MCMURRAY,56.653,-111.222
CYMO, YMO, MOOSONEE,51.291,-80.608
CYMR, N/A, N/A,0.0,0.0
CYMW, YMW, MANIWAKI,46.274,-75.99
CYMX, YMX, MONTREAL INTERNATIONAL MIRABEL,45.68,-74.039
CYNA, YNA, NATASHQUAN,50.19,-61.789
CYND, YND, GATINEAU,45.521,-75.564
CYNI, N/A, N/A,0.0,0.0
CYNM, YNM, MATAGAMI,49.762,-77.803
CYNY, N/A, N/A,0.0,0.0
CYO, N/A, N/A,0.0,0.0
CYOC, YOC, OLD CROW,67.571,-139.839
CYOD, YOD, COLD LAKE,54.405,-110.279
CYOJ, YOJ, HIGH LEVEL,58.621,-117.165
CYOW, YOW, OTTAWA MACDONALD CARTIER INTERNATIONAL,45.323,-75.669
CYPA, YPA, PRINCE ALBERT GLASS FIELD,53.214,-105.673
CYPE, YPE, PEACE RIVER,56.227,-117.447
CYPF, N/A, N/A,0.0,0.0
CYPG, YPG, SOUTHPORT,49.903,-98.275
CYPH, YPH, N/A,0.0,0.0
CYPK, N/A, PITT MEADOWS,49.216,-122.71
CYPL, YPL, PICKLE LAKE,51.446,-90.214
CYPN, YPN, PORT MENIER,49.836,-64.289
CYPQ, YPQ, PETERBOROUGH,44.23,-78.363
CYPR, YPR, PRINCE RUPERT,54.286,-130.445
CYPY, YPY, FORT CHIPEWYAN,58.767,-111.117
CYQA, YQA, MUSKOKA,44.975,-79.303
CYQB, YQB, QUEBEC JEAN LESAGE INTERNATIONAL,46.788,-71.398
CYQF, YQF, RED DEER REGIONAL,52.179,-113.893
CYQG, YQG, WINDSOR,42.276,-82.956
CYQH, YQH, WATSON LAKE,60.118,-128.822
CYQK, YQK, KENORA,49.788,-94.363
CYQL, YQL, LETHBRIDGE,49.63,-112.8
CYQM, YQM, GREATER MONCTON INTERNATIONAL,46.112,-64.679
CYQN, N/A, NAKINA,50.183,-86.696
CYQQ, YQQ, COMOX,49.711,-124.887
CYQR, YQR, REGINA INTERNATIONAL,50.432,-104.666
CYQT, YQT, THUNDER BAY,48.372,-89.324
CYQU, YQU, GRANDE PRAIRIE,55.18,-118.885
CYQV, YQV, YORKTON MUNI,51.265,-102.462
CYQW, YQW, NORTH BATTLEFORD,52.769,-108.244
CYQX, YQX, GANDER INTERNATIONAL,48.937,-54.568
CYQY, YQY, SYDNEY,46.161,-60.048
CYQZ, YQZ, QUESNEL,53.026,-122.51
CYRB, YRB, RESOLUTE BAY,74.717,-94.969
CYRI, YRI, RIVIERE DU LOUP,47.764,-69.585
CYRJ, YRJ, ROBERVAL,48.52,-72.266
CYRM, YRM, ROCKY MOUNTAIN HOUSE,52.43,-114.904
CYRT, YRT, RANKIN INLET,62.811,-92.116
CYRW, N/A, N/A,0.0,0.0
CYSA, N/A, N/A,0.0,0.0
CYSB, YSB, SUDBURY,46.625,-80.799
CYSC, YSC, SHERBROOKE,45.438,-71.691
CYSD, N/A, N/A,0.0,0.0
CYSF, YSF, N/A,0.0,0.0
CYSJ, YSJ, SAINT JOHN,45.316,-65.89
CYSK, YSK, N/A,0.0,0.0
CYSM, YSM, FORT SMITH,60.022,-111.96
CYSR, YSR, NANISIVIK,72.982,-84.614
CYSS, N/A, N/A,0.0,0.0
CYSU, YSU, SUMMERSIDE,46.443,-63.831
CYSY, YSY, SACHS HARBOUR,71.994,-125.243
CYTC, N/A, N/A,0.0,0.0
CYTE, YTE, CAPE DORSET,64.23,-76.527
CYTH, YTH, THOMPSON,55.801,-97.864
CYTL, YTL, N/A,0.0,0.0
CYTR, YTR, TRENTON,44.119,-77.528
CYTS, YTS, TIMMINS,48.57,-81.377
CYTZ, YTZ, CITY CENTRE,43.627,-79.396
CYUA, N/A, N/A,0.0,0.0
CYUB, YUB, TUKTOYAKTUK,69.433,-133.026
CYUC, N/A, N/A,0.0,0.0
CYUF, YUF, N/A,0.0,0.0
CYUH, N/A, N/A,0.0,0.0
